t	Sn	En	In	Rn	Sy	Ey	Iy	Ry	F	Cs	Ce	Ci	Cr	Cf	T	Tbusy
1.440000000000000000e+02	1.425385327410529499e+03	9.180954773636319288e+00	2.000260399714663961e+01	2.674208313532561760e+02	8.729383807959566184e+02	9.253283951597341073e+00	2.757212763321362203e+01	4.162746155551110405e+02	3.848969468860752841e+01	1.998263134713633149e-01	1.540540128944679399e+00	1.998263134713634259e-01	1.998263134713633704e-01	0.000000000000000000e+00	1.066107150617245679e+03	0.000000000000000000e+00
1.450000000000000000e+02	1.391966563869461424e+03	7.555236410743360942e+00	1.829389697868299081e+01	2.711042202989265775e+02	8.444699017315866740e+02	7.713511774081174721e+00	2.729570580797564716e+01	4.156714426850717246e+02	3.998089821680125766e+01	1.998263134713634537e-01	1.224744871391588941e+00	1.998263134713633704e-01	0.000000000000000000e+00	0.000000000000000000e+00	1.078452819726018333e+03	0.000000000000000000e+00
1.460000000000000000e+02	1.380387309150547253e+03	6.296907309677240328e+00	1.852021230679845232e+01	2.730575717682994537e+02	8.385449823951008739e+02	6.613197033205649333e+00	2.700819705817723460e+01	4.141368512909980950e+02	4.584181739658913557e+01	3.726779962499648935e-01	1.479019945774904032e+00	1.998263134713633149e-01	1.998263134713633982e-01	1.998263134713634537e-01	1.056071414061199903e+03	0.000000000000000000e+00
1.470000000000000000e+02	1.363354693699821155e+03	6.342099196813482997e+00	1.878048447783555375e+01	2.725251772262926693e+02	8.167741425877781012e+02	6.556247020971677664e+00	2.738346520560658703e+01	4.180929588288018977e+02	4.587543520835039601e+01	1.998263134713633149e-01	1.312334645668634892e+00	3.726779962499648935e-01	1.998263134713633982e-01	2.763853991962832990e-01	1.089508639887214940e+03	0.000000000000000000e+00
1.480000000000000000e+02	1.347269522651895613e+03	6.675905057243799234e+00	1.898130476430836566e+01	2.723602470381216563e+02	8.048795933071122590e+02	7.313894691308834517e+00	2.739446289347944585e+01	4.206827762862284317e+02	4.599456489630051692e+01	1.998263134713634259e-01	1.363589014329464222e+00	3.726779962499648935e-01	1.998263134713633149e-01	0.000000000000000000e+00	1.078920073982158783e+03	0.000000000000000000e+00
1.490000000000000000e+02	1.334782456656223076e+03	7.425556469981820840e+00	1.979438577812742750e+01	2.741046757424778093e+02	7.907312005967780806e+02	7.917543811056558134e+00	2.695933151165947805e+01	4.213442443207480892e+02	4.437333721454310620e+01	1.998263134713633982e-01	1.363589014329464222e+00	3.307189138830738395e-01	0.000000000000000000e+00	0.000000000000000000e+00	1.089371033332486149e+03	0.000000000000000000e+00
1.500000000000000000e+02	1.314016076105573575e+03	8.934075684329819467e+00	1.758545603300889226e+01	2.745383498813154119e+02	7.741706135529099129e+02	8.417801078666565573e+00	2.535580144003866110e+01	4.238227731676951748e+02	3.895403273945672851e+01	3.996526269427267963e-01	1.674979270186814917e+00	3.307189138830738395e-01	3.726779962499648935e-01	0.000000000000000000e+00	1.085158794543453041e+03	0.000000000000000000e+00
1.510000000000000000e+02	1.298846376490392231e+03	9.013492971959070843e+00	1.897293393817156115e+01	2.729485572970766611e+02	7.684790127619331770e+02	7.664401839384176185e+00	2.532781601103594582e+01	4.274645453134095874e+02	3.580347593305556586e+01	3.307189138830738395e-01	1.384437310486345885e+00	1.998263134713634259e-01	3.307189138830738395e-01	1.998263134713633704e-01	1.099797385853665219e+03	0.000000000000000000e+00
1.520000000000000000e+02	1.298628886316256285e+03	7.485982270587844489e+00	1.696053425521207458e+01	2.758278448597965848e+02	7.774417437535468025e+02	6.885976086704531873e+00	2.481903251539027977e+01	4.278146015896761583e+02	3.825406205736704379e+01	0.000000000000000000e+00	1.705790790871559937e+00	1.998263134713633704e-01	1.998263134713633982e-01	1.998263134713633704e-01	1.105981828763725844e+03	0.000000000000000000e+00
1.530000000000000000e+02	1.269053780682240813e+03	8.000000000000000000e+00	1.820099012874482725e+01	2.780841418178238200e+02	7.535617912712195903e+02	7.444120536071104688e+00	2.534343959598924556e+01	4.264982333557263132e+02	4.828170734231431993e+01	1.998263134713633704e-01	1.213351648213419676e+00	1.998263134713633704e-01	1.998263134713634537e-01	0.000000000000000000e+00	1.104213517873945875e+03	0.000000000000000000e+00
1.540000000000000000e+02	1.250778118229475012e+03	7.996092795859738089e+00	1.760440088601584563e+01	2.774502176317201361e+02	7.499858285698173859e+02	7.880619687985626065e+00	2.496608811078651158e+01	4.292582244568984038e+02	4.644738286491500645e+01	1.998263134713633982e-01	1.513251649777906715e+00	1.998263134713633982e-01	1.998263134713633982e-01	0.000000000000000000e+00	1.146343400865697504e+03	0.000000000000000000e+00
1.550000000000000000e+02	1.240401100003095280e+03	7.752687705993752232e+00	1.601946515614328703e+01	2.813175351014500052e+02	7.524583864001309621e+02	8.440045912197398081e+00	2.500996329243385219e+01	4.278793313800308056e+02	4.175049899901397055e+01	1.998263134713633704e-01	1.151689580090437648e+00	1.998263134713633704e-01	0.000000000000000000e+00	1.998263134713633149e-01	1.151811193747337484e+03	0.000000000000000000e+00
1.560000000000000000e+02	1.205743716434890757e+03	6.340867229505930069e+00	1.710258062073934227e+01	2.838869315952313173e+02	7.251537720067072996e+02	9.053851237027378929e+00	2.418103021424484567e+01	4.285938227862781673e+02	4.686933299077340109e+01	1.998263134713633149e-01	1.224035901797365211e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.163371811684562999e+03	0.000000000000000000e+00
1.570000000000000000e+02	1.182529101709082170e+03	8.526816359123856159e+00	1.727956403771036520e+01	2.826045529239281677e+02	7.194397656433018255e+02	7.964766161036995307e+00	2.385950631649084741e+01	4.321557075355543134e+02	4.565995616754599951e+01	1.998263134713633704e-01	1.443375672974064550e+00	1.998263134713634537e-01	1.998263134713633427e-01	0.000000000000000000e+00	1.167691478468901551e+03	0.000000000000000000e+00
1.580000000000000000e+02	1.162140678488289723e+03	9.958158994289835420e+00	1.457589095809316859e+01	2.863274610137063974e+02	6.932905034848106425e+02	9.367404330383571676e+00	2.356517999789802786e+01	4.309653891748926071e+02	4.951975966442306998e+01	0.000000000000000000e+00	1.240939384319619476e+00	1.998263134713633704e-01	2.763853991962832990e-01	0.000000000000000000e+00	1.190118446486175117e+03	0.000000000000000000e+00
1.590000000000000000e+02	1.126034376325459561e+03	9.450161668223223899e+00	1.509685167694097707e+01	2.865062990145243020e+02	6.582846553733422752e+02	7.783418093756893974e+00	2.282846663464037462e+01	4.326580134439003018e+02	4.173059678860743560e+01	1.998263134713633704e-01	1.129620142643829928e+00	2.763853991962832435e-01	0.000000000000000000e+00	0.000000000000000000e+00	1.170151625384030694e+03	0.000000000000000000e+00
1.600000000000000000e+02	1.085753527381892582e+03	8.209073570683166565e+00	1.485152208810037600e+01	2.868442491386028337e+02	6.303810892692873722e+02	6.768877922767800648e+00	2.349468024894146012e+01	4.355435221906328138e+02	3.962215201822782973e+01	0.000000000000000000e+00	1.098452193872005545e+00	1.998263134713633704e-01	1.998263134713633982e-01	0.000000000000000000e+00	1.163963770794530546e+03	0.000000000000000000e+00
1.610000000000000000e+02	1.071702674842182432e+03	7.331320746556440504e+00	1.663496985937222306e+01	2.879392176407297939e+02	6.130143404498970767e+02	8.292818177997954621e+00	2.121107546123538867e+01	4.347525617297218332e+02	5.040941752291927003e+01	1.998263134713633704e-01	1.615355997915010722e+00	1.998263134713633982e-01	0.000000000000000000e+00	0.000000000000000000e+00	1.198473820433257742e+03	0.000000000000000000e+00
1.620000000000000000e+02	1.071029592909966823e+03	7.044378176169198369e+00	1.580694072235358227e+01	2.891857702623388491e+02	6.209039095790551528e+02	7.902948640996108054e+00	2.236192200048008871e+01	4.320822645438404948e+02	5.006218355427799338e+01	2.763853991962832990e-01	9.965217285917830070e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.205548523725012046e+03	0.000000000000000000e+00
1.630000000000000000e+02	1.060992262741450077e+03	7.134496595182218570e+00	1.613350335654211420e+01	2.898725983322482307e+02	6.120209336811027470e+02	7.513760524678851915e+00	2.378283548883288745e+01	4.310497340956016501e+02	4.725946039918591879e+01	2.763853991962832990e-01	1.854049621773915746e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.998263134713633982e-01	1.223425243481958205e+03	0.000000000000000000e+00
1.640000000000000000e+02	1.042968077038900674e+03	5.506151862538239961e+00	1.720767755005499566e+01	2.890235957303293617e+02	5.996590698055020994e+02	8.445803527327770510e+00	2.626824762585683715e+01	4.306150317343271468e+02	4.558203837283083004e+01	2.763853991962832990e-01	1.076903998610007074e+00	0.000000000000000000e+00	1.998263134713633982e-01	0.000000000000000000e+00	1.237543315038799847e+03	0.000000000000000000e+00
1.650000000000000000e+02	1.041126966020475265e+03	7.179131601771592486e+00	1.602927010191044133e+01	2.914910900105791711e+02	5.900174432449716733e+02	8.770115766371361588e+00	2.625803448470582069e+01	4.313106881613556425e+02	4.238905044020474122e+01	1.998263134713634537e-01	1.280190957978101451e+00	1.998263134713633704e-01	1.998263134713633982e-01	0.000000000000000000e+00	1.238175191786507867e+03	0.000000000000000000e+00
1.660000000000000000e+02	1.037360753707857157e+03	6.515872713783029901e+00	1.436116483978773672e+01	2.920499356797661790e+02	5.878538119011109302e+02	5.627160079076794830e+00	2.780724825572562509e+01	4.327199645363423315e+02	3.958184207717248171e+01	4.061164310337067596e-01	1.508655582519305982e+00	0.000000000000000000e+00	3.307189138830738395e-01	0.000000000000000000e+00	1.225432473971490936e+03	0.000000000000000000e+00
1.670000000000000000e+02	1.034491659248906444e+03	6.701471646005988880e+00	1.308936962661770842e+01	2.946375333213110252e+02	5.755760158310977204e+02	5.596998203402328009e+00	2.747192379907570725e+01	4.332183320958254740e+02	4.114082775459596064e+01	2.763853991962832990e-01	1.508655582519305982e+00	2.763853991962832435e-01	0.000000000000000000e+00	3.996526269427267963e-01	1.233744953130508293e+03	0.000000000000000000e+00
1.680000000000000000e+02	1.015288204840817116e+03	8.129058815276355432e+00	1.391841306407530965e+01	2.962898238587046649e+02	5.669362593997866497e+02	5.643949562732348824e+00	2.772104971357005354e+01	4.341148721504737296e+02	3.494042548872771192e+01	0.000000000000000000e+00	1.545603082582617249e+00	2.763853991962832435e-01	1.998263134713633704e-01	1.998263134713633704e-01	1.231471711566647855e+03	0.000000000000000000e+00
1.690000000000000000e+02	9.929691866093104409e+02	7.037104044515281487e+00	1.482952900653137895e+01	2.972791430438551288e+02	5.458234350247544171e+02	4.363476888394798969e+00	2.637694174000381508e+01	4.342250440599769377e+02	4.058271303427387267e+01	2.763853991962832990e-01	1.561249499599599577e+00	1.998263134713633427e-01	0.000000000000000000e+00	0.000000000000000000e+00	1.268359060596494601e+03	0.000000000000000000e+00
1.700000000000000000e+02	9.748051220842382918e+02	6.891898424156358338e+00	1.301494867023642499e+01	2.952007673695235326e+02	5.251554382989859278e+02	5.094761743420611388e+00	2.466089459492948421e+01	4.377028973960406120e+02	4.751922125718064649e+01	1.998263134713633704e-01	1.247219128924647036e+00	0.000000000000000000e+00	2.763853991962832435e-01	1.998263134713633982e-01	1.302300301923058214e+03	0.000000000000000000e+00
1.710000000000000000e+02	9.645419888547562550e+02	6.393220150197307383e+00	1.560977035563161408e+01	2.944505446826154298e+02	5.250924521770745059e+02	4.121210380458633971e+00	2.458400422813356201e+01	4.388582012829808718e+02	5.057028936704502087e+01	1.998263134713634259e-01	1.268611445636527391e+00	1.998263134713633982e-01	0.000000000000000000e+00	0.000000000000000000e+00	1.285061906744833323e+03	0.000000000000000000e+00
