t	Sn	En	In	Rn	Sy	Ey	Iy	Ry	F	Cs	Ce	Ci	Cr	Cf	T	Tbusy
1.980000000000000000e+02	5.182545833333333576e+04	9.087500000000000000e+01	1.622500000000000000e+02	4.493750000000000000e+03	3.944329166666666424e+04	2.237500000000000000e+01	2.974583333333333144e+02	3.664541666666666515e+03	1.916291666666666742e+03	1.291666666666666607e+01	6.904166666666667140e+01	4.208333333333333570e+01	1.475000000000000000e+01	5.304166666666666430e+01	5.172175000000000000e+04	3.541833333333333485e+03
1.990000000000000000e+02	5.180316666666666424e+04	9.225000000000000000e+01	1.642083333333333428e+02	4.511875000000000000e+03	3.942587500000000000e+04	2.179166666666666785e+01	2.994166666666666856e+02	3.681416666666666515e+03	1.913750000000000000e+03	1.537500000000000000e+01	7.116666666666667140e+01	4.225000000000000000e+01	1.529166666666666607e+01	5.129166666666666430e+01	5.196795833333333576e+04	3.542416666666666515e+03
2.000000000000000000e+02	5.177362500000000000e+04	9.312500000000000000e+01	1.638333333333333428e+02	4.527875000000000000e+03	3.941733333333333576e+04	2.237500000000000000e+01	3.009166666666666856e+02	3.700916666666666515e+03	1.910791666666666742e+03	1.445833333333333393e+01	7.037500000000000000e+01	4.466666666666666430e+01	1.570833333333333393e+01	4.841666666666666430e+01	5.221508333333333576e+04	3.540875000000000000e+03
2.010000000000000000e+02	5.176050000000000000e+04	9.091666666666667140e+01	1.633750000000000000e+02	4.547833333333333030e+03	3.939487500000000000e+04	2.137500000000000000e+01	3.024583333333333144e+02	3.718666666666666515e+03	1.909250000000000000e+03	1.454166666666666607e+01	6.841666666666667140e+01	4.345833333333333570e+01	1.433333333333333393e+01	5.225000000000000000e+01	5.246625000000000000e+04	3.545958333333333485e+03
2.020000000000000000e+02	5.175004166666666424e+04	9.083333333333332860e+01	1.646666666666666572e+02	4.570000000000000000e+03	3.936870833333333576e+04	2.191666666666666785e+01	3.006666666666666856e+02	3.733166666666666515e+03	1.909541666666666742e+03	1.433333333333333393e+01	6.812500000000000000e+01	4.283333333333333570e+01	1.325000000000000000e+01	5.183333333333333570e+01	5.272004166666666424e+04	3.545208333333333485e+03
2.030000000000000000e+02	5.172137500000000000e+04	9.233333333333332860e+01	1.622916666666666572e+02	4.590458333333333030e+03	3.936108333333333576e+04	2.145833333333333215e+01	3.009166666666666856e+02	3.750083333333333485e+03	1.905291666666666742e+03	1.300000000000000000e+01	6.862500000000000000e+01	4.112500000000000000e+01	1.366666666666666607e+01	5.170833333333333570e+01	5.296025000000000000e+04	3.545083333333333485e+03
2.040000000000000000e+02	5.169725000000000000e+04	9.170833333333332860e+01	1.620416666666666572e+02	4.617500000000000000e+03	3.934729166666666424e+04	2.187500000000000000e+01	3.002916666666666856e+02	3.762041666666666515e+03	1.908375000000000000e+03	1.545833333333333393e+01	6.870833333333332860e+01	4.166666666666666430e+01	1.483333333333333393e+01	5.354166666666666430e+01	5.321175000000000000e+04	3.548583333333333485e+03
2.050000000000000000e+02	5.165562500000000000e+04	8.966666666666667140e+01	1.607083333333333428e+02	4.632625000000000000e+03	3.935220833333333576e+04	2.212500000000000000e+01	3.045833333333333144e+02	3.782458333333333485e+03	1.915666666666666742e+03	1.391666666666666607e+01	6.700000000000000000e+01	4.045833333333333570e+01	1.350000000000000000e+01	5.083333333333333570e+01	5.345541666666666424e+04	3.545083333333333485e+03
2.060000000000000000e+02	5.162666666666666424e+04	8.762500000000000000e+01	1.615833333333333428e+02	4.654916666666666970e+03	3.934520833333333576e+04	2.191666666666666785e+01	3.043750000000000000e+02	3.797708333333333485e+03	1.915125000000000000e+03	1.425000000000000000e+01	6.358333333333333570e+01	4.050000000000000000e+01	1.362500000000000000e+01	5.250000000000000000e+01	5.370720833333333576e+04	3.547041666666666515e+03
2.070000000000000000e+02	5.163225000000000000e+04	8.945833333333332860e+01	1.595833333333333428e+02	4.676291666666666970e+03	3.930350000000000000e+04	2.079166666666666785e+01	3.049166666666666856e+02	3.813208333333333485e+03	1.913208333333333258e+03	1.291666666666666607e+01	6.533333333333332860e+01	4.016666666666666430e+01	1.216666666666666607e+01	5.054166666666666430e+01	5.395400000000000000e+04	3.540416666666666515e+03
